influence.1.1		influence.1.2		influence.1.3		influence.1.4		influence.1.5		influence.1.6		influence.1.7		influence.2.1		influence.2.2		influence.2.3		influence.2.4		influence.2.5		influence.2.6		influence.2.7		influence.3.1		influence.3.2		influence.3.3		influence.3.4		influence.3.5		influence.3.6		influence.3.7		influence.4.1		influence.4.2		influence.4.3		influence.4.4		influence.4.5		influence.4.6		influence.4.7		influence.5.1		influence.5.2		influence.5.3		influence.5.4		influence.5.5		influence.5.6		influence.5.7		influence.6.1		influence.6.2		influence.6.3		influence.6.4		influence.6.5		influence.6.6		influence.6.7		influence.7.1		influence.7.2		influence.7.3		influence.7.4		influence.7.5		influence.7.6		influence.7.7		
0.000000000000000000e+00 2.098666869414895445e-04 2.037760996084386829e-09 2.217053327708223738e-14 7.031923853425982252e+00 4.307198766081613249e-13 1.156629239033106771e-01 4.506555237271969186e-09 0.000000000000000000e+00 3.118980672515304572e-02 1.323361974762002724e-06 2.738780827628076244e-09 1.010644048281477803e+00 1.887314744605194901e-04 2.606420198805996513e-01 4.405642046717600686e-03 0.000000000000000000e+00 5.242967134789641412e-07 8.149914546427894368e-01 1.502434855056560936e+00 2.037638593817429344e-01 1.097082035805636152e-01 1.230525559365737709e-01 1.078258617982764678e+00 0.000000000000000000e+00 1.613789117932032946e-01 1.814204932845640455e-06 3.592207047306395466e-06 4.767668325796153850e-02 5.099301900096523451e-05 2.705564698002194598e-11 1.886998863934274788e-03 0.000000000000000000e+00 6.205968779930300272e+00 8.024512552677081399e-08 1.646922778353913236e-02 1.252407290156582809e+00 7.643854951434926343e-13 6.212116757068518957e+00 1.536656627308481710e-18 0.000000000000000000e+00 8.978064516325460012e-07 1.163033652604912767e-02 4.366767170259244213e-01 7.555983213483309369e-01 5.703503206037249029e+00 8.988632492648875427e+00 1.857433838941767501e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.177592461463419124e-06 1.337153172326186913e-08 5.491604363427839203e-14 1.146473136301028317e+00 1.333487627401422598e-13 1.371824694082050995e-02 1.192943047534052872e-08 0.000000000000000000e+00 8.269285260863444911e-03 2.593391699786903011e-06 1.065188922808442651e-09 8.870156233498441845e-01 2.280353835475727739e-06 2.661196018861189949e-01 2.678509348447934493e-02 0.000000000000000000e+00 2.503772864192831596e-07 7.790749329445479932e-01 3.684557340588870744e+00 1.091238782285856024e-01 4.694116760623705947e-02 1.756474107924389072e+00 6.546523567499018981e+00 0.000000000000000000e+00 5.236464903770511325e-01 1.640143344616953681e-06 3.474383745066971870e-06 2.591383509602662380e-02 7.382704536125737633e-05 3.144933232337141726e-11 1.366888181715896584e-03 0.000000000000000000e+00 7.298414301696278805e+00 1.609323361371023701e-07 2.555409993383005174e-02 1.006686902750693724e+00 3.462124770660942635e-12 9.168012560759024154e+00 3.772760755563144905e-20 0.000000000000000000e+00 9.244862547725169233e-07 3.873725920124697960e-03 5.764054926637511844e-01 2.717750179566976176e-01 2.276815536619349878e+00 1.135368267110131724e+00 7.184760303145977245e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.425221730570282695e-06 2.467751899283769443e-08 2.016759405497344243e-13 1.011617607379818734e-01 5.361323868748323254e-13 2.763987080588112613e-02 1.011212337496194707e-08 0.000000000000000000e+00 1.967439710995956201e-02 1.915655188614624009e-05 6.517583157642323456e-10 3.781532145288790669e+00 3.269005873569422960e-06 6.363083446831289958e-02 3.495312474591825980e-02 0.000000000000000000e+00 8.836295653743382326e-08 1.017758089044490388e+00 2.419001092196503500e+00 1.157640977343102062e-01 1.430997750856358034e-04 1.965884677455855378e+00 3.121815210154385234e+00 0.000000000000000000e+00 5.066143598422018224e-01 1.568710189364875873e-06 8.241458144140937381e-06 2.494293246632544453e-02 2.573143359957273581e-04 4.050082054376117703e-11 1.670407851284466368e-03 0.000000000000000000e+00 8.470163060549630529e+00 6.388548735450585296e-07 3.514514574737957753e-02 2.979518052136750139e+00 1.127818879276513439e-11 8.808362342877526174e+00 7.475911514958662293e-20 0.000000000000000000e+00 2.360442621190879690e-04 3.399185042909862609e-03 1.624982521892218146e-01 2.535340118301161461e+00 7.586913631221061660e-01 9.842017073050069342e+00 8.470351843639992717e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.277984393773073069e-06 1.721240337621398647e-08 6.423860058114767100e-12 3.346032515181343592e-01 3.126900187097126329e-12 2.507627806887069780e-02 7.173784002901890260e-09 0.000000000000000000e+00 7.018912486960716957e-03 5.180318599067789319e-06 3.240836033000911219e-10 4.536918544654868213e-01 4.905618336515853768e-06 5.648977755623223462e-01 3.831516117003518768e-02 0.000000000000000000e+00 6.645644581182628341e-08 3.282501033903019394e+00 2.383661621646306017e+00 1.528610206931511284e+00 1.556549555389548254e-06 2.009273500121964151e+00 9.862760453531384641e+00 0.000000000000000000e+00 6.492884124298586856e-01 3.443604476012943599e-06 9.050688931951379984e-05 3.374229982878296230e-02 1.061751438634859086e-04 2.355755226271418406e-11 8.114976126940303845e-04 0.000000000000000000e+00 9.341134386390677946e+00 6.054163984049400228e-07 3.990271677248918500e-03 2.610503886160013387e+00 5.181832957171650287e-12 9.682200168417701036e+00 3.387943427780087213e-20 0.000000000000000000e+00 5.671146348752678645e-02 4.714244705717767674e-04 2.022453693422780752e-02 2.371177754601052623e+00 1.491564086993527605e-01 8.456761790950736213e+00 1.620251669135144734e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.053671279970074568e-06 2.391674326694315181e-07 4.709198514297259622e-12 1.353281793527660648e+00 2.518870128964720116e-12 1.254952500440646712e-02 1.936586213124432504e-09 0.000000000000000000e+00 8.823769403415884435e-03 3.072212898405357595e-05 2.558459082200373955e-09 9.473034766523515948e-01 2.105930608451538117e-06 8.692630810159952537e-01 2.830769453471980793e-02 0.000000000000000000e+00 2.310497188423687905e-08 4.390850579351056382e+00 2.675191322147856710e+00 2.157918491941044792e+00 1.405585580016503520e-06 1.293245708761900481e+00 9.913092997340497092e+00 0.000000000000000000e+00 2.773719284446574118e-01 1.858217908618030821e-06 5.094164119721607950e-06 2.749151553688928065e-02 1.598343702305927668e-04 2.012910275674073995e-11 3.985192237047929277e-03 0.000000000000000000e+00 3.789331857557509675e-01 1.548126384296737233e-07 2.775510416143124257e-02 2.656318703582911223e+00 2.618319886642669331e-12 9.001306144003606846e+00 4.242928240480351812e-20 0.000000000000000000e+00 1.167572916292579713e-02 3.269073772894383312e-04 2.556820363380202243e-02 1.363141117710018113e+00 1.175430814149069914e-01 3.919734610253470919e+00 4.957954810723733813e-02 0.000000000000000000e+00
0.000000000000000000e+00 4.845259305792920372e-04 1.603913144082853100e-08 3.690127313366946889e-12 1.951631126896519852e+00 3.172111700353036155e-12 1.963528644550785549e-03 1.679679330115328672e-09 0.000000000000000000e+00 1.381611709315380167e-02 1.687210079184357431e-05 1.733907015238547827e-09 7.434973076713957685e-01 2.568511688254821919e-06 4.879334349791506931e+00 7.818257660672907556e-04 0.000000000000000000e+00 7.506537832890501652e-09 5.603750735547672335e+00 6.178848768426901117e+00 1.729302268724792757e+00 3.656445300655898532e-06 5.164708050033295805e+00 3.146826001199901413e+00 0.000000000000000000e+00 3.271713736590928234e-01 8.222405212438260507e-08 1.193808108519727566e-05 7.814927027299797824e-02 2.885354911556252934e-05 3.470847779673729825e-11 5.285330134985465056e-03 0.000000000000000000e+00 4.013017556041791334e-01 3.359914913470689858e-07 1.688174642256984326e-02 8.303544993091271920e-03 3.694485156351878494e-13 7.884237683875626068e+00 5.182292049230961851e-20 0.000000000000000000e+00 2.706846458094591679e-02 1.224967038599070104e-03 1.892809244711974800e-02 7.010508680487670397e+00 1.609059512079906995e-01 4.230911635061749720e+00 1.197062433969005475e-02 0.000000000000000000e+00
0.000000000000000000e+00 2.252375133681513378e-03 4.043661353791747713e-08 5.645198173043416518e-12 1.047976681399537480e+00 3.255481405630553179e-12 2.434222160139159520e-03 6.277433732830545234e-09 0.000000000000000000e+00 2.278722284057723563e-02 1.353194290963150636e-06 7.168584494212288660e-09 1.122555854952315357e+00 7.613787794611721515e-06 1.559905047408909340e+00 1.261656957160855325e-02 0.000000000000000000e+00 8.333723989397000464e-09 1.712135555568179424e+00 2.393587826984678646e+00 5.697903073872327973e+00 3.055106800227248224e-06 1.746103709383002300e+00 9.463811030117657452e+00 0.000000000000000000e+00 1.226455381302024861e-01 9.841448455087829883e-08 1.448440099533615274e-05 8.352247967679576890e-02 6.372679702980743458e-05 3.281543812397339000e-11 8.278409470092106329e-03 0.000000000000000000e+00 6.576517275410062036e-01 1.998123699380461867e-06 2.234182989377814926e-02 1.806992351187565113e-02 6.690023888405138776e-12 5.882620800620848023e+00 1.842666606361555402e-20 0.000000000000000000e+00 3.482456721154031376e-02 1.200102486683013274e-02 2.121002386112927351e-02 1.872395174835637111e+00 5.028495652807184191e-02 4.190261942684314178e+00 7.755651857911861902e-03 0.000000000000000000e+00
0.000000000000000000e+00 5.538078457783143603e-05 2.163229525778512852e-07 4.217600142631262864e-12 7.706321516749373712e-01 1.179904619394477389e-12 1.146503942549902122e-02 6.685333041137808366e-08 0.000000000000000000e+00 3.532045903406226539e-02 6.647062248874995113e-07 7.028590453764233197e-09 5.230289067084429311e-01 5.969115810760358307e-06 1.168331102799243133e-02 3.040542351801948581e-02 0.000000000000000000e+00 1.085861855042856045e-08 1.974606247660849467e+00 1.158782995209094668e+00 3.903610601773318756e+00 1.370053777838377282e-06 2.053348695941416224e+00 5.752211811629038607e+00 0.000000000000000000e+00 2.841668481812023583e-01 2.326137787912581666e-07 1.859765236336169655e-05 3.716539073942247418e-02 5.273392336545244943e-05 3.486854129649959734e-11 3.074879873181589080e-03 0.000000000000000000e+00 1.284858161521149622e+00 2.576001701651465019e-07 2.905579753387272507e-02 8.851864752737213793e-03 5.548461165711864197e-12 8.377265318073106926e+00 1.331579631444876401e-21 0.000000000000000000e+00 4.411584009067225087e-02 6.959626015806770830e-03 3.616369002763866747e-02 7.350440239959594724e-01 7.821014721356739363e-02 2.079615521210400608e+00 2.673908778235564027e-02 0.000000000000000000e+00
0.000000000000000000e+00 4.192299552600259786e-06 4.723234161352547377e-08 1.115966165865333215e-11 4.585460257393259575e-01 8.549513957081364428e-13 1.512011158841291281e-01 5.263771380809693618e-08 0.000000000000000000e+00 3.921988641364701315e-03 2.209187559102508600e-06 6.434665606764103024e-08 9.620352553834868314e-02 4.817588609216548968e-06 7.946362313448550319e-03 3.837526365711602661e-01 0.000000000000000000e+00 8.719339379805866842e-09 2.931911488913324870e+00 8.375294522182665347e+00 9.031860669789459450e+00 1.069643371230203214e-06 1.057966328661753330e+00 4.195979866666399438e+00 0.000000000000000000e+00 2.542656121672247638e-01 1.630387926465529490e-07 1.092356173600127548e-04 6.411344424191815772e-02 4.805411854822942431e-05 3.427316175935609081e-11 1.592137571964603697e-03 0.000000000000000000e+00 1.233913522308871080e+00 3.787132946566583936e-07 1.098670192485998003e-02 4.889222069888462564e-03 4.133482485101225999e-12 6.348873268409376713e+00 1.712500323275147627e-21 0.000000000000000000e+00 1.471001610438086527e+00 9.593284938394766939e-03 2.089523994892076523e-03 1.373806293460227090e+00 6.115887721755919770e+00 2.240996857892873617e+00 9.816581371698676617e-03 0.000000000000000000e+00
0.000000000000000000e+00 7.479853645650867356e-06 2.222054822687277124e-08 1.633618524511549058e-11 1.002574889606292485e-01 1.913031607105414913e-12 5.707387629564909109e-02 5.688917097069556407e-08 0.000000000000000000e+00 7.219639544319944938e-03 3.343726124911303862e-06 3.461943236355348190e-08 6.263999309449551356e-02 2.167209066692540320e-06 1.021159528451712033e-02 1.196665663266439361e-01 0.000000000000000000e+00 2.958177080312201408e-08 2.707169738742114529e-01 1.796404222146741336e+00 5.933341013907500461e+00 9.710854660639712232e-07 1.456194100090389520e+00 1.998934661994433704e+00 0.000000000000000000e+00 9.927100963209932516e+00 1.586545591231889798e-07 1.261830701366522612e-03 3.389469799826074631e-02 1.974143658624529475e-05 2.348020001663771218e-11 6.117393000842367458e-03 0.000000000000000000e+00 3.974436560298116317e-01 1.051000204480369828e-06 6.279137959525315713e-03 4.435205033200200625e-03 7.352986918259144676e-11 7.713565483255313104e+00 9.818181086514066251e-22 0.000000000000000000e+00 1.868786385191754995e+00 5.039783845525534940e-03 2.166767320564652266e+00 3.859864098611863970e+00 5.767514564117007581e+00 5.106413272651465496e-01 1.127060859636499004e-02 0.000000000000000000e+00
