log.prior	log.likelihood	log.likelihood.test.set
-1.446227903334326129e+03 -7.065887938068848371e+02 -4.276460066235731006e+01
-1.436367209540969043e+03 -7.052389301327059457e+02 -4.262062405367632323e+01
-1.431507502164886318e+03 -7.096236135044078992e+02 -4.243179469461861686e+01
-1.417292407083704802e+03 -7.089929356267747380e+02 -4.233463027599543693e+01
-1.405537990283082081e+03 -7.057907883999819205e+02 -4.181833020595291828e+01
-1.400660195791939259e+03 -7.087162260883250156e+02 -4.374448907021550781e+01
-1.404623044041307367e+03 -7.065820258756776866e+02 -4.262760173551515663e+01
-1.392050534034811790e+03 -7.066660410515316926e+02 -4.213610785367541212e+01
-1.399401821491594774e+03 -7.088213524030838926e+02 -4.257599589141668162e+01
-1.403229152120176195e+03 -7.022495416093821632e+02 -4.214686071721965277e+01
-1.411189826497400190e+03 -7.016499836387857840e+02 -4.243077459406072194e+01
-1.421659679127061736e+03 -7.035564028999473294e+02 -4.252344571422838726e+01
-1.408715829145320640e+03 -7.030345590874132995e+02 -4.326660376070617531e+01
-1.423363186610625235e+03 -7.048780150827046782e+02 -4.313350071021824306e+01
-1.401675007639575142e+03 -7.049187683364320947e+02 -4.287603499749241109e+01
-1.398822372208499246e+03 -7.052410896486575211e+02 -4.069565628747250230e+01
-1.409693487131895154e+03 -7.049492835904101184e+02 -4.124261847563747097e+01
-1.420101484858781987e+03 -7.063048474105667083e+02 -4.145266154550290594e+01
-1.424225128918498967e+03 -7.065862063188189950e+02 -4.164610635588968535e+01
-1.424360787045979805e+03 -7.055074671812431006e+02 -4.196029604257026335e+01
-1.421561854978830524e+03 -7.041121442268470219e+02 -4.188248820126185024e+01
-1.403976186940033358e+03 -7.065211933291590185e+02 -4.223495683249603871e+01
-1.404943292334284479e+03 -7.051228841900590396e+02 -4.230842515729474940e+01
-1.392806925217467096e+03 -7.051938447447003000e+02 -4.204151094510831399e+01
-1.405176065258976678e+03 -7.041472576093858606e+02 -4.189719325251698478e+01
-1.403452561021132396e+03 -7.072060581152520626e+02 -4.300437196223521141e+01
-1.427276856429083864e+03 -7.037809154115967658e+02 -4.199238878915230089e+01
-1.424924046771443045e+03 -7.039342009551086221e+02 -4.284349504743738635e+01
-1.411302864422478251e+03 -7.043298597115815483e+02 -4.267668666895579577e+01
-1.402287045267999474e+03 -7.027050499542758644e+02 -4.255649406091629317e+01
-1.394982360932479651e+03 -7.060862582920040040e+02 -4.149975370833988109e+01
-1.385937303961394036e+03 -7.041708847250291683e+02 -4.214761226502719182e+01
-1.397491037426422736e+03 -7.040453559882065520e+02 -4.320507062439543233e+01
-1.372189274940474434e+03 -7.097300183936690701e+02 -4.341449791381222667e+01
-1.364380619288483331e+03 -7.103285786447560213e+02 -4.312063832033845756e+01
-1.353453720656264522e+03 -7.099059981666666772e+02 -4.267870023030022253e+01
-1.357743856470662195e+03 -7.087159839944908981e+02 -4.190158780775192326e+01
-1.351852199818823919e+03 -7.077122189630520097e+02 -4.188826246190191682e+01
-1.369115581689797409e+03 -7.084208924871805948e+02 -4.134970328049092814e+01
-1.389744811094260285e+03 -7.081370853275034278e+02 -4.234011691010039158e+01
-1.407707742647018677e+03 -7.063133429692015852e+02 -4.213652577813488165e+01
-1.393988423116570402e+03 -7.028020222057356250e+02 -4.226596072033487417e+01
-1.405296334560960986e+03 -7.038625441061346919e+02 -4.270618871033772734e+01
-1.416569461304421111e+03 -7.027377810217012666e+02 -4.216411011315949509e+01
-1.416712805468220040e+03 -7.056226880520466693e+02 -4.352664185472224290e+01
-1.437841221687935331e+03 -7.064163981619873312e+02 -4.409998128250737182e+01
-1.432113491348321986e+03 -7.066331400334989894e+02 -4.453829664357016327e+01
-1.421520514691254903e+03 -7.040362228792869246e+02 -4.545625465802217491e+01
-1.418525027046249534e+03 -7.083381350715967528e+02 -4.341429108536172521e+01
-1.432167226575122186e+03 -7.069157131024201135e+02 -4.251059160945024473e+01
-1.432874038299653193e+03 -7.050636408326731726e+02 -4.271088106354338265e+01
-1.442046396711717534e+03 -7.070635514609660959e+02 -4.274438594279993708e+01
-1.433513656595377142e+03 -7.103631268593906043e+02 -4.187658782115124723e+01
-1.406080491530792642e+03 -7.140826625127454008e+02 -4.131956273852361505e+01
-1.414664842371839086e+03 -7.116522939239841890e+02 -4.169799126313847637e+01
-1.416394967136179957e+03 -7.137352333041162638e+02 -4.134596207433955328e+01
-1.421846147207868171e+03 -7.130069656735684021e+02 -3.995262332807635630e+01
-1.413664395153969281e+03 -7.113516760087958346e+02 -4.063017405763639545e+01
-1.406629645057347034e+03 -7.103492873159145802e+02 -4.071867720926911716e+01
-1.402619903726620123e+03 -7.097018839225659121e+02 -4.156150260240499961e+01
-1.396965946493232423e+03 -7.088751595872486178e+02 -4.148318474290621793e+01
-1.376217530919439469e+03 -7.112109066879065722e+02 -4.218695778269608354e+01
-1.385156915663184236e+03 -7.101411581337579264e+02 -4.295356938051716611e+01
-1.391916592199829211e+03 -7.096483961263393212e+02 -4.244931835853569169e+01
-1.400441573277214275e+03 -7.077537971158665187e+02 -4.168761117272478600e+01
-1.411672472706955659e+03 -7.073714250783197031e+02 -4.186970649587462390e+01
-1.432041452154241824e+03 -7.063976283767489122e+02 -4.299272820297596809e+01
-1.417468630126653579e+03 -7.033135749554285212e+02 -4.283262785841162668e+01
-1.425605917216975968e+03 -7.027235943519301600e+02 -4.275744516750000912e+01
-1.426715795254065597e+03 -6.995740332842447060e+02 -4.414228400323173673e+01
-1.409324634782990870e+03 -7.006859533142328473e+02 -4.459909447651841674e+01
-1.425532212365953683e+03 -6.973506565944694557e+02 -4.297853825911715830e+01
-1.429446195547076059e+03 -7.035196316547596780e+02 -4.260501052516542586e+01
-1.431827395343244461e+03 -7.003778561796555095e+02 -4.308415904329675072e+01
-1.405707044843678659e+03 -7.002077866769706134e+02 -4.283075533237351351e+01
-1.413593227184996067e+03 -7.059116586997108698e+02 -4.174156839706404298e+01
-1.414507124229514602e+03 -7.077676804005166105e+02 -4.136956384883487203e+01
-1.429015081959932559e+03 -7.104390958455286409e+02 -4.176839530008390966e+01
-1.417080842818975270e+03 -7.133878522940345874e+02 -4.183759078460013825e+01
-1.384629563426923141e+03 -7.120490200844823221e+02 -4.156017554358885491e+01
-1.383291867180015061e+03 -7.111729547655578472e+02 -4.197899621368966905e+01
-1.409509936070679260e+03 -7.106204838297794595e+02 -4.134729161877248771e+01
-1.397753110194840019e+03 -7.074128539087998888e+02 -4.158689896949894660e+01
-1.405540331848235382e+03 -7.079613834221902380e+02 -4.077358824332102927e+01
-1.410872505712059137e+03 -7.081282315918250561e+02 -4.252604123061149721e+01
-1.413532228761801889e+03 -7.100925433822104651e+02 -4.228917319857328039e+01
-1.415450276430424537e+03 -7.120052576039541918e+02 -4.125806219215786541e+01
-1.424270004874568258e+03 -7.087815205136982968e+02 -4.128768126916818915e+01
-1.411551244451309003e+03 -7.084960945044472282e+02 -4.098537629530272852e+01
-1.419637184097126010e+03 -7.091207173862053423e+02 -4.024174114080648224e+01
-1.431682238668022364e+03 -7.066911321323029824e+02 -4.120623491172446506e+01
-1.422013713569600213e+03 -7.050390748244969927e+02 -4.234894181044509764e+01
-1.407406749611746591e+03 -7.078824557176510552e+02 -4.189754014480138267e+01
-1.414603904753583038e+03 -7.080595479474689000e+02 -4.249984702099038714e+01
-1.407378060681547595e+03 -7.122965920204353552e+02 -4.153505616721520255e+01
-1.410981984072285286e+03 -7.088920265417107203e+02 -4.156958723042285442e+01
-1.404725229927028522e+03 -7.089580609408427563e+02 -4.083880421225799751e+01
-1.389626285783184130e+03 -7.103170899108082494e+02 -3.990346111182378763e+01
-1.414429033734327732e+03 -7.061072345654265519e+02 -4.229532330141989860e+01
-1.418962960789478075e+03 -7.054251089178412712e+02 -4.298557455124714011e+01
-1.410837680184038618e+03 -7.053686336134815065e+02 -4.154439620372434661e+01
-1.396567203659302777e+03 -7.043304895102854744e+02 -4.218140083609705471e+01
-1.378441832318879051e+03 -7.055082429983910970e+02 -4.047375194059904402e+01
-1.382757528714965702e+03 -7.078727451550594196e+02 -4.057671697275034717e+01
