word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	
8.898564878308286907e+00 5.890622294973450579e+00 7.427140011738357472e+00 9.071530413314931707e+00 7.980776448818410529e+00 8.845754121843510731e+00 6.611322041857522258e+00
9.433739481842554397e+00 7.964248317934728760e+00 5.964583223871927409e+00 5.968948428960400676e+00 8.331337925742936079e+00 8.846337425759806194e+00 6.206806173661273185e+00
8.620029316145972231e+00 9.541157442215180140e+00 7.764561156899812744e+00 5.364330768289262252e+00 8.299364345020235234e+00 7.711179486715601605e+00 7.849040832055715455e+00
7.787786662831095441e+00 6.815438228577943569e+00 7.968642820344125965e+00 8.459813296780342995e+00 8.993461570011008988e+00 9.466934747721698074e+00 4.235786540380033216e+00
9.375935806059580102e+00 8.792399038472224149e+00 8.544521731167659340e+00 7.553732949671482899e+00 9.931003042610091924e+00 8.064442302593317180e+00 6.040727283648207546e+00
7.687058472234181039e+00 9.806621099697684585e+00 8.022903072652207257e+00 9.868408860750299993e+00 8.860399346754892491e+00 6.992743091119539400e+00 8.392801307579583536e+00
9.128592842838873622e+00 8.761368900275950722e+00 7.578747828263586506e+00 6.356526835140900111e+00 8.938813231385841718e+00 7.644708356843924690e+00 9.589579927710945029e+00
7.749009023464764390e+00 7.305983535419040109e+00 7.974339766347757319e+00 6.323054176678235550e+00 8.907115075124464099e+00 9.463166404293460232e+00 6.224316089211779257e+00
7.750392012633039229e+00 8.984583625065274859e+00 8.829602514117333101e+00 5.947192936490346860e+00 8.576730675650610536e+00 9.198018444002459049e+00 5.975792167424497592e+00
9.384951713632094794e+00 7.864132193756365297e+00 8.781213879344704765e+00 5.237815307276062704e+00 8.863819577275537043e+00 9.014900761982802990e+00 7.549689353371015876e+00
8.962415532395002771e+00 9.098580695462098689e+00 7.097348057843960056e+00 9.027622117269018531e+00 8.180975974230147330e+00 7.186004867703141841e+00 6.850244265763632434e+00
8.017981732435709219e+00 9.731479094905285621e+00 6.692008913384092317e+00 6.352895778295264861e+00 8.245073170615048852e+00 8.438591365364590757e+00 9.384929465057824771e+00
