log.prior	log.likelihood	log.likelihood.test.set
-1.151864622944866596e+03 -3.754129133321436029e+02 -1.572670484672687508e+01
-1.157821851041147966e+03 -3.697979473176305873e+02 -1.575997263467607468e+01
-1.150349025337148305e+03 -3.735262013992002039e+02 -1.544939879001560712e+01
-1.149689257505154956e+03 -3.721983564002504750e+02 -1.576000340781078535e+01
-1.160971500252394890e+03 -3.683536650593250670e+02 -1.580772428273695596e+01
-1.150662854560286632e+03 -3.687012692126388060e+02 -1.584855578798047304e+01
-1.164444207299875188e+03 -3.669815811151393063e+02 -1.560531212169445325e+01
-1.149325865988852911e+03 -3.686018656801184648e+02 -1.561308340166661424e+01
-1.170850307929003293e+03 -3.677604896760001338e+02 -1.556527657749455784e+01
-1.153724529995270814e+03 -3.682334331874992586e+02 -1.555328072258237171e+01
-1.143580033445941353e+03 -3.690500387096983559e+02 -1.626738233986299065e+01
-1.142287826295244031e+03 -3.702610153007418603e+02 -1.617922948979784792e+01
-1.171965639903379042e+03 -3.727449835623909848e+02 -1.632123004068066052e+01
-1.165440798322987348e+03 -3.726309282106703336e+02 -1.615066726576378642e+01
-1.146499409685916362e+03 -3.738146303295033022e+02 -1.555202369499102133e+01
-1.163891778095663312e+03 -3.740496577315285549e+02 -1.632434586596269810e+01
-1.182675269673886305e+03 -3.761776437115068461e+02 -1.636768355716998258e+01
-1.194057836085453800e+03 -3.753560152905828318e+02 -1.684040479836644977e+01
-1.180986633204983718e+03 -3.733496155839691824e+02 -1.709450700888987740e+01
-1.187439875712540015e+03 -3.724266061443719309e+02 -1.684986858650705699e+01
-1.193326906593764306e+03 -3.739747189472857372e+02 -1.721588446270845907e+01
-1.188790451004648048e+03 -3.709382731017598189e+02 -1.686082476949002285e+01
-1.165972633862191515e+03 -3.693393297663080261e+02 -1.711012544297190630e+01
-1.172250049123476174e+03 -3.701753385720758160e+02 -1.665105451090133215e+01
-1.163187635605276455e+03 -3.709158334781941448e+02 -1.690606467227004828e+01
-1.158296592785103257e+03 -3.707808037855020302e+02 -1.693522644271337185e+01
-1.163935999177021813e+03 -3.710956701480171205e+02 -1.668309766383345050e+01
-1.164952444999272302e+03 -3.721060508795252986e+02 -1.666988754209984336e+01
-1.158028125468069902e+03 -3.729978772395899682e+02 -1.696146700752092329e+01
-1.188734610548751334e+03 -3.723367996576277505e+02 -1.680391633529120554e+01
