sender	time
5 5.50
4 6.50
3 11.50
4 13.50
4 16.50
5 18.50
4 21.50
5 22.50
4 23.50
6 29.50
6 31.50
2 37.50
5 39.50
1 41.50
1 44.50
1 48.50
5 54.50
2 56.50
1 57.50
2 60.50
5 61.50
2 63.50
1 72.50
3 75.50
3 77.50
2 78.50
1 80.50
6 81.50
3 83.50
2 84.50
6 85.50
3 87.50
1 93.50
1 98.50
