word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	
9.635961979746134887e+00 7.755383116348203210e+00 7.224323852319797901e+00 9.317554888261735613e+00 7.364521402793671179e+00 5.786007233697584518e+00
8.904035668040439333e+00 7.472055051721478769e+00 8.409835197191833700e+00 8.626285728844610645e+00 8.987324837590996651e+00 4.938000355394267515e+00
8.817444857676033365e+00 9.346482545606463077e+00 5.407719840846355375e+00 9.319355553252522739e+00 9.126050822965334319e+00 5.573081423359139919e+00
9.339819459470776408e+00 8.614981486554007972e+00 9.626238135673968799e+00 9.942266406946602686e+00 9.521936322608732794e+00 8.407630608587881582e+00
5.327262023112190548e+00 7.552905889574568654e+00 6.902818058198222140e+00 9.951790942356813829e+00 6.719978976360462930e+00 9.299247874522196255e+00
5.298361271397866723e+00 7.111154142950820933e+00 7.778701886259982601e+00 9.182315902274666541e+00 5.773956960968197549e+00 8.352094757371590461e+00
5.128441596508392486e+00 9.782297578126552651e+00 6.540439926073059240e+00 9.724633519691710859e+00 6.761550106821896833e+00 6.898400993188791297e+00
6.330915336234781421e+00 9.151619540556735544e+00 6.746679956230407171e+00 9.625582777443966620e+00 7.457736525344480505e+00 8.949950974432590911e+00
9.821909858493384604e+00 9.597518191506575036e+00 8.400645713512288282e+00 9.959206904823405537e+00 6.783514781453252596e+00 9.629553927665462254e+00
8.847371739109636479e+00 9.218176599002665839e+00 8.765299579891845383e+00 9.792699366895025292e+00 7.379307593797487463e+00 8.659794746599931869e+00
6.843229577133438823e+00 7.141765905230458067e+00 9.820635496362417172e+00 8.237768459575796953e+00 8.266204202100137621e+00 9.233386295825518175e+00
6.556882593975088547e+00 7.716129772925951258e+00 9.032530481254186228e+00 7.885198307815892704e+00 6.319442412401432563e+00 6.693107436436663171e+00
7.964504581218132095e+00 8.859128186587131637e+00 8.041293413889539110e+00 8.654011996591945532e+00 5.722502755821235354e+00 6.652700416967189057e+00
7.577665024469582455e+00 9.354793824455349238e+00 8.751405991743908430e+00 7.284616835819978320e+00 8.765064821045989163e+00 6.804744041391863618e+00
7.712147935999361437e+00 9.093664396632535230e+00 8.861232101225464675e+00 8.825459117714851587e+00 7.744238909847568131e+00 8.104913464452456751e+00
9.912068177531278224e+00 9.898148840418180328e+00 6.271893356606350167e+00 8.185849054721437312e+00 8.639000083964905485e+00 5.678966405332593226e+00
9.599729676505827314e+00 7.758969212810715277e+00 6.539419249948428714e+00 7.722994782566270366e+00 8.994800582814919565e+00 5.781230097912489541e+00
9.279322955062756506e+00 6.457167731310097913e+00 7.241411807440413462e+00 7.701364690603483609e+00 9.752027520302414487e+00 9.161486689971320985e+00
5.328971853179766072e+00 9.726731876604848281e+00 7.312324482320898156e+00 8.705302655373094112e+00 9.096551808116958071e+00 7.009749382077909985e+00
8.683887986271518145e+00 8.186424125150772113e+00 7.880711108815518173e+00 9.878567696751742844e+00 7.368352386911700691e+00 8.742182760931159535e+00
