influence.1.1		influence.1.2		influence.1.3		influence.1.4		influence.1.5		influence.1.6		influence.2.1		influence.2.2		influence.2.3		influence.2.4		influence.2.5		influence.2.6		influence.3.1		influence.3.2		influence.3.3		influence.3.4		influence.3.5		influence.3.6		influence.4.1		influence.4.2		influence.4.3		influence.4.4		influence.4.5		influence.4.6		influence.5.1		influence.5.2		influence.5.3		influence.5.4		influence.5.5		influence.5.6		influence.6.1		influence.6.2		influence.6.3		influence.6.4		influence.6.5		influence.6.6		
0.000000000000000000e+00 1.647411626770408921e-01 6.046415487616435990e-13 5.736125611041176242e-01 2.176173258752865918e-03 2.640487550586769695e-05 2.045915747007727903e-04 0.000000000000000000e+00 1.649621591686354626e-20 2.117381474430058752e+00 2.425983666227521634e-12 4.533292441900392924e-06 4.566524441897853180e-11 3.049922518468100858e-04 0.000000000000000000e+00 5.777652635437632966e+00 7.026347894168904595e+00 2.436862998817348469e+00 3.043590947728237565e-03 3.951669936959802815e-03 1.365998902713020864e-06 0.000000000000000000e+00 2.257476054375718823e-16 5.275334419282250664e+00 2.318310970099956170e-03 1.013242226416576353e-01 3.456373405734340019e-14 7.458126500878651255e-01 0.000000000000000000e+00 6.631217275761320806e+00 1.056716026807361371e-08 7.435113646907742348e-09 2.273125624187046727e-09 2.939309862269074536e+00 2.386866690908384142e-17 0.000000000000000000e+00
0.000000000000000000e+00 6.406734258212749833e-02 2.721546694909583384e-12 1.377045473623246877e-02 2.688459136097577466e-03 7.188998194178809634e-05 7.085487228361230763e-05 0.000000000000000000e+00 2.614856610490781562e-20 2.462094048903872068e+00 8.952644981785823565e-13 1.192482873059285232e-05 4.689648986339099000e-11 1.419418056713326359e-05 0.000000000000000000e+00 5.619212692434635059e+00 5.983211527106328198e+00 3.432497802638353690e+00 1.224863189118177188e-02 3.232907397655091723e-03 2.648572567922965269e-06 0.000000000000000000e+00 1.972398494384552600e-16 1.803323348873768772e-01 1.409445557345863093e-03 2.432811266806445827e-01 8.090252566099846203e-14 4.473361088070229030e-01 0.000000000000000000e+00 2.471941973025377770e+00 9.231773381087905068e-09 6.894552019066246928e-09 2.173491924692720912e-09 3.274993949476272537e-01 1.804477567740191241e-17 0.000000000000000000e+00
0.000000000000000000e+00 5.703047593034771268e-01 5.327778377747918243e-13 2.226912345883169386e-01 4.100753278558978351e-03 6.202034986676185620e-05 2.006327745901536740e-03 0.000000000000000000e+00 1.288312708475826666e-19 8.218874450260333475e+00 6.539148283177805383e-14 1.264545373193668998e-05 5.117304688692497635e-11 1.295622139987816305e-05 0.000000000000000000e+00 8.336295427667657520e+00 3.143366711085685772e+00 3.870353591986065211e+00 6.779011196018742622e-03 5.442219016333718108e-03 3.256894252864282443e-05 0.000000000000000000e+00 1.551610488430230690e-16 3.000465439681895274e-01 8.640914836663878560e-04 1.702207566860082510e-01 1.410221782799462002e-13 3.176866156245954920e-01 0.000000000000000000e+00 3.312526341387513007e+00 1.117262855862661870e-08 8.799687970999591204e-09 3.187489412986259013e-08 1.142610342260939049e+00 2.264944327681741019e-16 0.000000000000000000e+00
0.000000000000000000e+00 7.269091564372526237e-01 5.063053272998165758e-13 3.992342736678208825e-01 2.594124152818596055e-03 1.574469298443679601e-06 4.837039183960018668e-03 0.000000000000000000e+00 1.369961017435706870e-18 9.962306719880242412e+00 4.012586583032394704e-14 2.070829906283370178e-04 1.349930396474370252e-10 2.303268244912764302e-04 0.000000000000000000e+00 5.756279337313872091e+00 6.092535196005420595e+00 7.343631428730254207e+00 1.373028900509847168e-02 2.642022412288339700e-03 3.299929481002310765e-05 0.000000000000000000e+00 2.134868210444630055e-16 1.453354769089435727e+00 4.836194823557178439e-03 1.307377903646794737e-01 2.301372576072947857e-13 6.006108776399170929e-02 0.000000000000000000e+00 3.354013213786818604e+00 1.699900730382485294e-08 9.526533866834994242e-09 5.726201342844042406e-07 2.604683616858129547e+00 6.975762322973387493e-16 0.000000000000000000e+00
0.000000000000000000e+00 1.084494977192518167e-01 6.904903638016922120e-13 6.849104428990012705e-01 6.260361500356051608e-03 7.328969811199387655e-07 3.076113426057409516e-03 0.000000000000000000e+00 6.609006075083416572e-19 1.260974509319356951e-01 4.553799426042157265e-14 1.200943760568531845e-04 3.405719436218826404e-10 4.670994456317550838e-04 0.000000000000000000e+00 3.564614492130347756e+00 3.837593027514066613e+00 7.553877324050755071e+00 2.702625288353600608e-01 1.840124501122721501e-03 4.510924048836623200e-05 0.000000000000000000e+00 6.381596680663106821e-16 1.917805274826719808e+00 4.739409399157241097e-03 1.069201574699675250e-01 2.507241078179745325e-13 4.763296856047580935e-02 0.000000000000000000e+00 3.729323191819991390e+00 3.494888478212316664e-09 6.030497470962379468e-09 3.054998976010880208e-06 2.796456143132690642e+00 1.725758148897801818e-16 0.000000000000000000e+00
0.000000000000000000e+00 1.079016043594758500e-01 7.384206578027974137e-13 4.074925098276672486e+00 7.901503819319924231e-04 5.205135779022272542e-07 1.447957952560982716e-03 0.000000000000000000e+00 1.043587082274299116e-18 1.520397021509727331e-01 5.311898878680764320e-14 5.586155110865903030e-04 1.473568210325366529e-08 2.226993681618992613e-03 0.000000000000000000e+00 3.761256810717734655e+00 1.555803243478998121e+00 5.101233479400759663e+00 9.294244815924445069e-01 5.458399821830807463e-03 1.509107362043984795e-05 0.000000000000000000e+00 4.045960917244570595e-16 2.097168554936391427e+00 2.945025380164007032e-03 5.077711937343429294e-02 4.125846786467771843e-14 4.875468936128416093e-03 0.000000000000000000e+00 9.405106019475368839e+00 5.145030807816895472e-09 5.834969022742544144e-09 4.802940281117961309e-06 3.413361879629055018e+00 1.126961363639307760e-17 0.000000000000000000e+00
0.000000000000000000e+00 1.100404068031443361e-01 9.532344410086084494e-13 4.025498392863616104e+00 2.495191666022252008e-03 5.231290123323571096e-07 1.895867132080578327e-03 0.000000000000000000e+00 1.532221512237473769e-18 1.728099076492536357e+00 2.331015384603553435e-13 2.803883982267397373e-04 1.750051812270250057e-08 6.272941637252292361e-03 0.000000000000000000e+00 2.332732994720188024e-01 4.277781872723412926e-02 6.546723543106662824e+00 1.244996646912797100e+00 3.522042782181108445e-01 4.744597549822901578e-06 0.000000000000000000e+00 2.760259120017911958e-17 1.529787150309839250e+00 5.452425153805356972e-02 7.263856559378955247e+00 4.093272639064078726e-14 5.713102665294276551e-03 0.000000000000000000e+00 8.435391913513170081e+00 5.784286373591645568e-10 6.868552783305775415e-09 7.988208321069427086e-06 4.330382211652974433e+00 4.231488496408830530e-18 0.000000000000000000e+00
0.000000000000000000e+00 4.990554180125199996e-02 2.304173884126331844e-12 3.805094490879367686e-01 2.665098232569260584e-03 7.966484692053063422e-08 5.108102148391935240e-04 0.000000000000000000e+00 2.499726227155802838e-17 3.110908784017715867e+00 7.141531208576462289e-13 2.836777130599930246e-04 1.935908810778056818e-08 6.344498870757452336e-01 0.000000000000000000e+00 1.233994659097749497e-01 3.558659748178891191e-02 6.499560779078788819e+00 3.025209160143335629e-02 1.081877373303560957e-01 2.457070469159558639e-06 0.000000000000000000e+00 2.634803549192642149e-18 7.769560325689376157e+00 7.297654933911768005e-02 6.555240975120344871e+00 4.912706695765038009e-14 5.125541673760826596e-03 0.000000000000000000e+00 6.579079416254882240e+00 1.307736161593548075e-09 8.161568775771551719e-08 7.728722578606511760e-06 5.230664773997524719e+00 3.200651156145053857e-17 0.000000000000000000e+00
0.000000000000000000e+00 1.529077888437410382e-01 7.012488792450312002e-14 1.046218047518913119e+00 7.341446846630376598e-05 2.403145015780730680e-08 4.268811901258775469e-04 0.000000000000000000e+00 1.860792001178480275e-17 1.664399740457815247e+00 1.413217294219817952e-12 1.956625504207504663e-04 1.492175776581639898e-08 2.751834945544108457e+00 0.000000000000000000e+00 8.866950562369982358e-02 1.575599896911876741e-01 9.038140337649831935e+00 4.768319925755694355e-02 1.023593492791836784e-01 3.853639828394384358e-06 0.000000000000000000e+00 3.197197376690975497e-18 3.094409737446368602e+00 3.952000482544294063e-02 8.708412385731659100e+00 6.666092953194200354e-13 2.060779174812865655e-02 0.000000000000000000e+00 6.952742332779658696e+00 6.851729065734388058e-10 4.254540656371694207e-08 1.065458935649892142e-05 2.050013229438169660e+00 6.382650524579241258e-17 0.000000000000000000e+00
0.000000000000000000e+00 2.129659870177010028e-02 3.175104414848989319e-14 2.666500643732063747e+00 1.256297212734430708e-05 7.612742234755201736e-09 2.774346490169499516e-04 0.000000000000000000e+00 2.272780401850897379e-17 1.717935674708426230e+00 1.218823572003496523e-12 1.024120986929816625e-03 6.770670829478652384e-09 2.875898841446251630e+00 0.000000000000000000e+00 1.037069837575523290e-01 5.699780376639398960e-02 4.179739131965709120e+00 6.739725535697370373e-03 1.237477764448757928e-01 1.873270351967343860e-05 0.000000000000000000e+00 4.921703307558238052e-19 1.637242165083861778e+00 2.930593701858828781e-02 4.754537884254761426e-01 2.936769389819904128e-13 2.394052508426497416e-02 0.000000000000000000e+00 7.305032986713744236e+00 4.675892635595700863e-10 8.325764409083218275e-08 1.214215323231665156e-05 1.090282595889010331e+00 1.130872833427249503e-18 0.000000000000000000e+00
