word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	word.concentration.8	word.concentration.9	word.concentration.10	
9.591862858289408322e+00 7.440236704021071290e+00 9.603505582742361213e+00 6.583370290467435382e+00 7.054852888993927706e+00 8.506515895568167451e+00 7.963741155194723476e+00 6.821453893428052417e+00 9.355883889273053811e+00 6.626085648405417139e+00
8.408316182723920562e+00 8.345170854586564602e+00 9.063164847234085997e+00 6.980707484145431962e+00 8.971450065013213404e+00 8.654567924247297483e+00 7.844763100500684594e+00 7.963432109647005319e+00 9.025750250484197323e+00 6.130193734707461317e+00
9.330548878796966150e+00 7.896155699343063716e+00 8.640893134556476340e+00 5.966907633635809560e+00 8.397257873094455149e+00 6.518956044313734211e+00 7.856867367515996570e+00 4.705709531143046576e+00 7.168068969674888713e+00 8.003753602568476566e+00
9.977791157364979568e+00 9.522907981398976318e+00 8.478581160695592089e+00 5.980921032710218022e+00 9.844326761621019273e+00 4.775018905124803759e+00 8.417009125877367381e+00 6.311186479967451746e+00 7.159551150657800456e+00 8.690389900352291974e+00
9.638453846510749656e+00 7.663448757504778719e+00 9.492752816658873272e+00 5.955338292223032681e+00 9.235872591849505042e+00 7.992982178472528787e+00 8.141392044548080520e+00 6.078509923920243807e+00 5.797653107612560142e+00 5.178713487442903940e+00
7.370482774113368052e+00 6.798143554581750791e+00 9.867174795486992167e+00 8.620439942216206575e+00 9.559481748814501856e+00 8.818301726917566086e+00 9.988196061537166770e+00 8.300922090752075988e+00 9.037712476992714627e+00 5.489185901590520444e+00
7.033336278921701989e+00 7.931774165661405362e+00 5.564789658207820899e+00 9.048772381856247549e+00 9.885702584769916257e+00 8.278805840153175666e+00 9.884608846369488333e+00 9.682059424556481275e+00 7.766758262165647686e+00 4.649633564456618018e+00
9.349815188876533512e+00 8.119017726030103077e+00 9.738937889969859540e+00 8.273205136503234414e+00 9.806553706725441799e+00 7.276213460236438557e+00 9.938369569221965349e+00 9.421641058944747016e+00 8.102931077526449144e+00 4.620247759680756516e+00
7.807400113704485278e+00 8.964498233345342015e+00 9.888550581594753197e+00 7.647296214704859985e+00 7.991934005148451980e+00 8.733477692215023680e+00 9.346436037049167922e+00 9.178922334486156132e+00 8.370189432192347567e+00 4.437855389588852617e+00
6.376502866628431576e+00 9.720069561193788843e+00 7.858356238005480776e+00 8.290883275847475531e+00 6.842620498822154396e+00 7.655404332372849119e+00 9.823533323522301686e+00 7.452975019529471723e+00 9.772163502368808707e+00 6.686615682533473048e+00
9.291088302876902461e+00 8.837785129509528659e+00 9.707502765640604991e+00 9.054748550700736587e+00 9.698419490939301113e+00 7.976073004915236631e+00 9.986777580790469955e+00 6.803504656313164922e+00 6.821078000253515405e+00 7.602035145651891312e+00
6.000346646026935460e+00 8.970828084740224639e+00 9.289217863328749658e+00 5.405339193870116965e+00 9.016829371091709788e+00 9.044947704096376384e+00 8.845931132750324721e+00 7.478359353215275895e+00 8.954573172952347448e+00 7.811311291621912289e+00
6.952758259595784196e+00 9.735294543316580729e+00 9.294228633772409154e+00 6.762272558616674978e+00 6.333731482435027260e+00 8.069429526695037325e+00 9.473746022414976764e+00 6.130301931044451536e+00 7.254327245735023411e+00 8.595846577291858637e+00
8.023195790948859596e+00 8.297064985825535643e+00 9.459909245176460146e+00 6.995716671689841348e+00 8.215058051276926676e+00 8.742038361591605522e+00 7.557041772338137342e+00 8.327901966315597093e+00 9.014998345274561231e+00 9.360734213157650530e+00
8.499286062782381634e+00 7.746321468208132721e+00 8.070339271274606929e+00 8.910436518094677183e+00 8.836771416739850338e+00 7.047805983056911749e+00 7.476381192370525675e+00 8.010926623663101154e+00 9.880595424307255570e+00 9.276639593878977408e+00
7.127390168813794169e+00 7.525572578195024676e+00 7.523735759280220314e+00 8.784566780392651708e+00 6.708966132569587515e+00 7.431070911857063699e+00 7.347751882139764490e+00 7.296035420757982948e+00 8.899311456706296752e+00 9.521406180133073605e+00
9.641488399322470926e+00 8.051307699665240847e+00 6.896610136530025414e+00 8.993729188929933116e+00 8.551244384605494631e+00 6.493926332823416914e+00 6.811865265419370097e+00 8.322135637950548670e+00 6.642178869109056194e+00 9.143133145772354808e+00
9.467088308724566303e+00 8.633342504730267208e+00 8.646687482904914290e+00 7.539529963828106141e+00 9.824007416876273879e+00 6.859114086171339331e+00 6.860781101451037145e+00 6.412746681281307204e+00 8.589019907903171713e+00 6.098814260379231911e+00
4.930866169985981706e+00 7.538049364832091648e+00 9.269896769144134296e+00 7.432856937133873743e+00 6.704431630251514562e+00 6.900771761512304536e+00 8.401631356905856052e+00 9.321471275878565166e+00 9.653213538818468109e+00 9.867064039061885339e+00
7.444568449770637919e+00 7.558513802232645240e+00 9.648964854864585661e+00 7.357827167288480297e+00 8.934035917430136919e+00 5.004367711789580397e+00 8.095804131186199015e+00 7.535586525972324701e+00 7.767609239605689275e+00 7.248846083730464684e+00
8.425726182740826076e+00 9.740668293083222906e+00 6.743132417126767919e+00 8.129193743982538578e+00 6.057117691138637738e+00 8.549266539870895798e+00 7.793049655899322303e+00 6.187327028906548065e+00 7.029196114908048187e+00 9.688373064737303864e+00
9.927309123082501685e+00 9.020976898814115685e+00 9.281918990037091532e+00 7.729218106806403199e+00 7.051805373108477326e+00 9.091894961088220484e+00 9.058729872682555140e+00 9.396308026681033709e+00 7.867332106471421227e+00 7.172538524859121800e+00
7.537523668162133816e+00 8.402712557073733990e+00 8.819052114112018614e+00 8.749083561062262149e+00 4.329507839643717659e+00 9.903493589138310682e+00 5.848593832970606421e+00 5.925171977662095024e+00 7.288196068793279636e+00 9.151302445302004429e+00
9.988567609886020549e+00 8.388141430927845477e+00 6.271614524622457054e+00 9.225783347121936373e+00 8.135477255987598966e+00 9.294376368004801492e+00 5.662302443965172571e+00 8.206078462750875602e+00 7.580933730365641665e+00 8.898894981903811896e+00
7.134343397562402878e+00 9.635639411802172205e+00 8.955812900020589495e+00 8.171025919174402574e+00 9.482591352163002085e+00 9.888487796072878311e+00 9.385058954723000113e+00 7.578491034276097160e+00 8.586835333615308485e+00 6.660211876021906896e+00
6.798715350269171509e+00 6.784630489370476525e+00 8.063054827225137444e+00 8.706777613648457148e+00 8.825078781389466442e+00 6.540271684024893339e+00 8.858561952546379459e+00 7.628946908438643426e+00 7.716195645211752385e+00 7.341015929028625209e+00
9.251264376343645068e+00 6.509221541587847604e+00 9.349017870403542929e+00 6.801763664336850645e+00 9.121709105663533990e+00 5.901338986629348859e+00 8.459523754821514530e+00 7.042925903970880697e+00 7.556423796567711015e+00 7.944231622069230170e+00
9.193328863872366696e+00 8.989846818951793495e+00 9.763299236809327653e+00 8.522842942836010849e+00 7.120150285888590780e+00 8.586545479911087853e+00 9.327589055801563944e+00 6.824170461485886463e+00 4.596638119697313840e+00 6.518216741345780108e+00
9.340883109322398070e+00 6.280851367899311199e+00 9.875195105271560081e+00 9.761530037500738999e+00 7.479777525098362467e+00 8.560750252360350032e+00 7.916063638426713567e+00 9.549849064466895854e+00 9.629133882041701398e+00 7.772398265700424247e+00
7.328464007233903565e+00 7.113207626236959236e+00 9.891757743220260579e+00 9.449018673711842453e+00 9.466708338204409046e+00 9.969255676536672439e+00 6.697615845828619463e+00 6.825125389246037066e+00 9.139177491686648835e+00 6.024015972540989416e+00
9.919883610807428198e+00 9.093162911450004771e+00 7.603958311266847403e+00 8.523932816661936585e+00 7.959858200065002443e+00 9.845652569434705015e+00 9.252679253710560658e+00 7.093357744186934433e+00 9.908660018188442109e+00 9.773259931792278365e+00
8.974443873387210502e+00 8.651429089015621798e+00 7.712655815927499603e+00 8.954363122286117971e+00 8.987381047377652976e+00 4.334833199895522071e+00 8.445357892271971423e+00 8.714828401839724847e+00 9.629711093773039465e+00 8.862564820249998476e+00
4.790252905400354422e+00 9.118789106459992411e+00 8.331162860668179349e+00 9.042004701708831860e+00 5.110320657840493830e+00 6.679659778800223435e+00 8.626233062679141028e+00 7.286837314519785558e+00 7.325345726199496532e+00 8.749743440271211981e+00
6.742712591452757032e+00 9.996453085914044578e+00 6.747363307184310877e+00 5.530651060483976700e+00 6.389544013091439822e+00 9.229212060462213429e+00 8.257680913987968552e+00 6.125838378481551771e+00 8.792380013822942431e+00 8.873362217584025657e+00
4.848707808742124925e+00 9.146069391345754696e+00 6.612947367021174472e+00 4.934283813641381577e+00 7.638552168453792923e+00 6.413498851717628568e+00 8.555294987539671325e+00 8.165573147340220217e+00 9.852309202036121150e+00 9.924784129356357454e+00
6.435108269331079711e+00 9.463593828840670241e+00 5.813226749508290325e+00 5.278793644397217655e+00 9.427997080558949250e+00 8.576720399850515264e+00 9.045298037546011471e+00 9.004857085427081742e+00 9.016823989329024513e+00 5.523909326945825704e+00
8.354502282351251807e+00 8.651712149328691481e+00 9.753285541390937396e+00 5.613726654698927732e+00 9.773382479865041716e+00 9.427787208858072532e+00 9.552034684317074920e+00 9.782112745115693286e+00 7.253730892544181685e+00 7.317625116949338704e+00
8.952241334100829562e+00 9.336090921099184925e+00 9.462642669886946578e+00 4.579317335876467610e+00 8.076254285115648912e+00 7.491407672484076130e+00 8.622037843554972270e+00 8.212984161369426772e+00 7.255510342519285061e+00 9.718144545877454021e+00
8.924668695666845508e+00 9.082705282898865917e+00 9.818690094690392556e+00 5.234539889768727861e+00 8.021037054770753016e+00 8.502895288602100976e+00 8.871464200776646436e+00 7.713725059804701800e+00 8.255720058307987941e+00 9.417608106676560453e+00
