log.prior	log.likelihood	log.likelihood.test.set
-1.952225668175292185e+03 -1.160309112009770161e+03 -1.162199281710774130e+02
-1.958934285097635893e+03 -1.160215352164737624e+03 -1.153080503587001431e+02
-1.946004672072751191e+03 -1.155482606584787163e+03 -1.164481150830137892e+02
-1.952471240535303195e+03 -1.153222926642117045e+03 -1.165607123408269103e+02
-1.941338489690430833e+03 -1.156075105719589828e+03 -1.178012939437960824e+02
-1.940582938222528355e+03 -1.157480183227506586e+03 -1.187041424426155061e+02
-1.940314292991128241e+03 -1.152892240406983547e+03 -1.170009282582021228e+02
-1.931523484714824690e+03 -1.157304405976339922e+03 -1.147999155016492523e+02
-1.933047525055657843e+03 -1.157997455123680766e+03 -1.162005382382796483e+02
-1.927303081286862607e+03 -1.159303319678018852e+03 -1.163177005890168800e+02
-1.896186666411809256e+03 -1.157836718867547233e+03 -1.165299313431717110e+02
-1.890413890628509080e+03 -1.155052107244648823e+03 -1.183383221137539465e+02
-1.883142576462557145e+03 -1.155765897001373332e+03 -1.177182458224506547e+02
-1.889878195688230335e+03 -1.151915757008963055e+03 -1.164339970191828684e+02
-1.894873643644319600e+03 -1.150572383387611808e+03 -1.160126592298218213e+02
-1.896577390031248342e+03 -1.153852877683158113e+03 -1.150056689282312163e+02
-1.883987822450043041e+03 -1.155129350910368430e+03 -1.144383770254130184e+02
-1.882571483460543959e+03 -1.158209013618442214e+03 -1.139085753912091832e+02
-1.877306109822498001e+03 -1.157963482135812683e+03 -1.141119947147847142e+02
-1.860493391344745760e+03 -1.157244336631067654e+03 -1.128850959231008346e+02
-1.854036817090511704e+03 -1.154727430578566327e+03 -1.127763500320137950e+02
-1.846040045668471976e+03 -1.154110709189464842e+03 -1.136475114651446461e+02
-1.830297141973955149e+03 -1.155016152356094381e+03 -1.135230574438498934e+02
-1.843537845623870453e+03 -1.152563000256023315e+03 -1.139474519748867749e+02
-1.837360917681817227e+03 -1.158703368496852818e+03 -1.125295251168411710e+02
-1.822786298799515862e+03 -1.159598809560908649e+03 -1.148269145438522116e+02
-1.827854786427824820e+03 -1.159831212648672135e+03 -1.150723260823273790e+02
-1.828541196304862297e+03 -1.154151249094870536e+03 -1.157792953117197783e+02
-1.829481964705983046e+03 -1.156133259061976560e+03 -1.158431223987003023e+02
-1.800278785318675318e+03 -1.159504077953201431e+03 -1.168503624560054845e+02
-1.801093862792996333e+03 -1.160749671704512139e+03 -1.155542813160217293e+02
-1.824287082067694655e+03 -1.160559813388973907e+03 -1.165335285073176124e+02
-1.809684742942896719e+03 -1.162607077127201137e+03 -1.179364406033846251e+02
-1.806917084391509434e+03 -1.164560950657761850e+03 -1.169685184369336639e+02
-1.783499592249501347e+03 -1.162533565025009466e+03 -1.161809536054880141e+02
-1.796137144278676715e+03 -1.160966423183650022e+03 -1.150762497713735115e+02
-1.781234565101645330e+03 -1.161633821769962879e+03 -1.161639660895541510e+02
-1.787203313622665746e+03 -1.158140244402866529e+03 -1.164808901017386233e+02
-1.779712556594743319e+03 -1.157781262627094520e+03 -1.138039360563708158e+02
-1.786866744233810778e+03 -1.156831570539146924e+03 -1.141170687252155460e+02
-1.805254733596047345e+03 -1.159061314210893443e+03 -1.156154994019165088e+02
-1.792972512027123003e+03 -1.158827537866334296e+03 -1.147591907127803097e+02
-1.802340847712304139e+03 -1.159195277336709751e+03 -1.150970989904837154e+02
-1.790828591703073016e+03 -1.155674685589358432e+03 -1.161208954024305058e+02
-1.810886193877611731e+03 -1.153020880174377680e+03 -1.168972206905861810e+02
-1.807620084424713923e+03 -1.157137015689327882e+03 -1.169766693713952179e+02
-1.823056929860916625e+03 -1.154848857548136039e+03 -1.168300007153480067e+02
-1.824760761594260430e+03 -1.160688241162373743e+03 -1.170190397428890776e+02
-1.822746986016405344e+03 -1.161712093094201691e+03 -1.167573651287718803e+02
-1.824517994589042246e+03 -1.165156970963977528e+03 -1.190509298324411986e+02
-1.832512349261947747e+03 -1.165900300223289150e+03 -1.169386831757879293e+02
-1.812012605990341171e+03 -1.167262646278874627e+03 -1.149270172919626987e+02
-1.823064178066983004e+03 -1.166460508307217879e+03 -1.158482937782658553e+02
-1.811695574590823526e+03 -1.164596000394416478e+03 -1.150239490281087456e+02
-1.841111726506317382e+03 -1.159712079855126376e+03 -1.157289656016787092e+02
-1.840154958643034433e+03 -1.162831775746070207e+03 -1.165702168728355446e+02
-1.847025660301623020e+03 -1.160643937479556143e+03 -1.174411675526504553e+02
-1.833410725619484310e+03 -1.162595001746197795e+03 -1.158808960876625349e+02
-1.841232861702398623e+03 -1.164629589093945924e+03 -1.137106130958173367e+02
-1.838033765339803722e+03 -1.162556781913484656e+03 -1.144015175552127346e+02
-1.850705062357925726e+03 -1.162307547855629082e+03 -1.161151353827613093e+02
-1.841151600269792198e+03 -1.157325047363214708e+03 -1.173879440046986247e+02
-1.840584171569185855e+03 -1.161075210853890894e+03 -1.168060238340787578e+02
-1.841951388172048610e+03 -1.159648960331378021e+03 -1.156550573309898766e+02
-1.830959381477872967e+03 -1.158617951699681271e+03 -1.167312641751632043e+02
-1.845230685540929016e+03 -1.159036897875343584e+03 -1.175155071662198623e+02
-1.857712643325666249e+03 -1.158833996765169104e+03 -1.162884059421027985e+02
-1.903106297056728408e+03 -1.157033525390973864e+03 -1.153411105193549417e+02
-1.909327353485163940e+03 -1.155448701802902406e+03 -1.154170475949500769e+02
-1.903111013687895593e+03 -1.157277980562420680e+03 -1.168245389023686300e+02
-1.880461677397770018e+03 -1.154610276797231109e+03 -1.180026968581989024e+02
-1.877876533712184028e+03 -1.156679337370613666e+03 -1.185871076516203004e+02
-1.879627734195134508e+03 -1.158256027631040297e+03 -1.179574165066097748e+02
-1.866129651027275941e+03 -1.162990535583867313e+03 -1.166312348750221588e+02
-1.886840368009887243e+03 -1.159253949202749936e+03 -1.142695944543669100e+02
-1.889309151704771011e+03 -1.160800312946300664e+03 -1.155299998321742692e+02
-1.908062966555512503e+03 -1.160922775480374185e+03 -1.150481262726362957e+02
-1.891053066569086923e+03 -1.161145257108136548e+03 -1.150769879455517923e+02
-1.868645863535424724e+03 -1.162928901676420992e+03 -1.168441394359720107e+02
-1.841335919005012784e+03 -1.160348458106356929e+03 -1.151446636360270759e+02
-1.836274863446914651e+03 -1.159600364751021743e+03 -1.157399387103428410e+02
-1.813774134771076660e+03 -1.161379460139022285e+03 -1.168443657712842594e+02
-1.821435334894082644e+03 -1.162359369162101530e+03 -1.157458053437709395e+02
-1.813776946612719712e+03 -1.163375765534041193e+03 -1.154746050495421059e+02
-1.811132419268556987e+03 -1.162590111970226417e+03 -1.168160741966754870e+02
-1.819284017134030819e+03 -1.160616846967739548e+03 -1.166405799735277355e+02
-1.788356763413913541e+03 -1.158501767785642642e+03 -1.145127752773470320e+02
-1.819020782822222372e+03 -1.160462409212183047e+03 -1.143928110856651017e+02
-1.799655737502024976e+03 -1.163202212582377797e+03 -1.144952683214274032e+02
-1.824951916625918557e+03 -1.164495176280357100e+03 -1.142971578147628691e+02
-1.816434172872482350e+03 -1.163666180619338093e+03 -1.139079740534487541e+02
-1.797537270309849191e+03 -1.168459254987766826e+03 -1.133641272610125839e+02
-1.832935797907835422e+03 -1.166188876021821216e+03 -1.135567029154761656e+02
-1.837509236589290140e+03 -1.168457507031618661e+03 -1.150351791630424430e+02
-1.839169156867787933e+03 -1.169233338853811574e+03 -1.142428471535897359e+02
