time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	
1.122263519838470529e+02 9.060341460936885483e+01 8.990600561312423622e+01 9.670016395215461102e+01 1.194349892193581724e+02 1.030980041459669678e+02 1.131197620774613881e+02 1.093188177428259564e+02 9.802160057558916151e+01 8.275161104186214800e+01
1.111438278068681029e+02 9.741043687227895020e+01 1.165015925266269790e+02 8.928764604783027892e+01 1.165369590113728293e+02 1.021933058566619223e+02 1.029463854225403168e+02 1.027252923956982329e+02 9.861633940042722202e+01 8.594329975597034377e+01
1.045036693742245859e+02 1.034772430010624049e+02 1.411502551500642255e+02 1.066527352219399347e+02 1.105473072324912494e+02 1.046753069975866168e+02 1.030015617872108180e+02 1.009774788443377105e+02 9.399297221994592633e+01 8.492001868657040120e+01
1.092981280691030150e+02 1.099026014764259003e+02 8.863289687372686387e+01 1.085385070900084941e+02 1.100839381825540215e+02 8.880112750794202725e+01 1.011290501311498673e+02 1.063608022717198907e+02 7.175279952993506072e+01 8.625066662185459165e+01
1.086453653075542434e+02 1.018970252411916135e+02 9.014331224067402104e+01 1.030488456907201709e+02 1.051468825950151995e+02 8.008364078601198344e+01 1.099946439093114918e+02 9.573075967653063856e+01 8.024400515299284109e+01 8.917970370145471293e+01
1.050061651893259835e+02 9.039652544060417938e+01 8.951282443707430048e+01 9.393307733524787295e+01 1.135316846540351889e+02 7.610789352126795393e+01 1.031394440978505713e+02 1.030450566640561902e+02 8.063951806359162333e+01 1.088948350800248903e+02
8.550793197257382872e+01 1.057937150921695206e+02 9.344458470141049133e+01 1.070779826563800725e+02 1.074353334880600102e+02 8.063847408184949472e+01 9.043926908849672941e+01 1.033339570175886877e+02 1.068900265040327469e+02 9.725681096120274560e+01
1.192552704007277100e+02 9.763381684393407056e+01 8.386425171121922517e+01 9.978353526632533033e+01 1.089802333376761823e+02 1.274706797205150650e+02 8.879080764029200168e+01 1.056946078060324936e+02 9.468729301989885982e+01 9.517784721369284284e+01
7.454439926989859089e+01 1.092009433402403999e+02 8.304529827932137209e+01 1.019123946422964764e+02 9.940694991665598934e+01 1.237857507182918226e+02 8.774256138831108842e+01 1.135487846036107129e+02 1.031368037042276171e+02 1.003263546052452568e+02
7.797026848694125079e+01 1.050784885210123605e+02 9.478415877508109588e+01 1.047484096909420970e+02 9.979816240380343118e+01 1.112813550168299770e+02 9.125105561535890786e+01 9.856088135107989956e+01 8.696129715886122824e+01 1.020968445749429492e+02
8.377583350732247425e+01 1.029220560761947922e+02 9.468092056281533075e+01 8.694151306421333913e+01 1.074947111966796456e+02 1.112696484910951824e+02 9.712481245008714836e+01 9.846653843139534956e+01 9.848973555315430417e+01 9.715226016285322430e+01
1.103241769837608786e+02 8.749771823608176646e+01 1.034790417068958845e+02 8.512746216986869285e+01 9.696247205899067012e+01 9.644557764701076508e+01 1.022607734186837973e+02 1.107841395791670749e+02 9.852006599095555828e+01 1.045391557198735484e+02
9.080141524969032218e+01 8.923727471309643988e+01 1.202303184969588017e+02 1.017093105081293345e+02 1.103903673016354787e+02 1.100768470908565604e+02 9.321514216886237136e+01 9.495118901516008236e+01 9.076634235307994913e+01 1.207074548193651822e+02
1.064853056898868005e+02 8.139834609363462903e+01 1.136629226566290356e+02 9.584955864217948829e+01 1.200503622988829022e+02 1.053715129372679513e+02 9.788647793933778019e+01 9.888261053908425424e+01 8.903063331882768239e+01 9.711384870704300454e+01
1.011576168361794430e+02 8.045111260809517262e+01 9.294078851848358624e+01 1.133452309750633447e+02 1.185036322487233633e+02 9.554567511065593521e+01 1.002532949564712084e+02 9.812432532029855281e+01 8.899610126721694314e+01 9.741146203910388124e+01
9.441335769096079389e+01 8.570175443255777736e+01 9.656293548865343723e+01 1.017545577741908147e+02 9.194244123796315193e+01 9.049290605893745010e+01 9.563632787049630224e+01 9.877013079334230383e+01 7.687373223934541500e+01 9.794927500507969853e+01
1.035150880430741580e+02 1.012852484606456187e+02 9.512978284495966363e+01 9.953164240009941466e+01 1.163883313262245451e+02 1.054632887281285889e+02 1.074463197566759334e+02 1.009660979973492942e+02 7.640476333597339931e+01 1.029195059639846761e+02
9.835820307844520016e+01 9.052617666663360296e+01 1.062147878411316810e+02 1.091965296623601773e+02 9.429335812411244433e+01 1.133557437871467926e+02 1.033084003707239162e+02 8.774583492960547915e+01 7.391479153416190684e+01 1.263547151626518854e+02
1.042987709513954826e+02 9.212138164682427544e+01 9.668494320134669806e+01 1.063949967081996562e+02 8.926940099327990197e+01 9.605267333020364617e+01 1.115144453950721015e+02 8.831413518799072904e+01 7.794259867299408029e+01 1.151333931936363655e+02
1.049307909188341341e+02 1.057599485768334091e+02 1.012595421358397800e+02 1.146500810330050655e+02 9.170235885351010552e+01 1.033906668041981476e+02 1.008001827054128654e+02 9.122678439177860810e+01 1.087085498200647180e+02 9.343644001971711077e+01
9.727028920392402256e+01 9.752554049352946208e+01 8.719863460699951929e+01 1.135972309337226704e+02 9.944877611511964233e+01 1.037070342158851588e+02 1.038989392671876999e+02 9.422232852740560816e+01 1.043376117600113986e+02 1.040066352730787003e+02
